ticker,feature,correlation,abs_correlation,p_value,mutual_info,n_samples
AMD,tweet_embedding_70,0.30500839266617485,0.30500839266617485,1.1970417043874553e-06,2.125537766886288,244
AMD,tweet_embedding_161,-0.30285635088202256,0.30285635088202256,1.4344767080760434e-06,2.055632650417918,244
AMD,tweet_embedding_92,0.3027169860953133,0.3027169860953133,1.4513124749424047e-06,1.9364585068071318,244
AMD,tweet_embedding_pca_33,0.301611425999049,0.301611425999049,1.591721397118063e-06,2.0031786618199487,244
AMD,tweet_embedding_pca_42,-0.30122810201600597,0.30122810201600597,1.643365908009019e-06,2.0355053405738834,244
AMD,tweet_embedding_86,0.3010425282931998,0.3010425282931998,1.6689391909307773e-06,2.043079938559533,244
AMD,tweet_embedding_267,-0.30076527651987006,0.30076527651987006,1.7078556285879696e-06,1.976782551408593,244
AMD,tweet_embedding_206,-0.2996832158480289,0.2996832158480289,1.868193092090581e-06,2.0023497975171742,244
AMD,tweet_embedding_208,-0.2979768416384839,0.2979768416384839,2.1505893882857036e-06,2.069725192449046,244
AMD,tweet_embedding_369,-0.297904948138423,0.297904948138423,2.1633396866856146e-06,2.0987275646419823,244
AMD,tweet_embedding_100,-0.2929834210010909,0.2929834210010909,3.230172390334925e-06,2.119615068296815,244
AMD,tweet_embedding_332,-0.29247868730210697,0.29247868730210697,3.364331372981199e-06,2.1749705245505773,244
AMD,tweet_embedding_38,-0.2913373059627936,0.2913373059627936,3.6875630608177183e-06,2.128726861219345,244
AMD,tweet_embedding_54,-0.29082149765514087,0.29082149765514087,3.843152348069995e-06,2.162113802763808,244
AMD,tweet_embedding_63,0.2907768845401596,0.2907768845401596,3.856899434477042e-06,2.150082087070704,244
AMD,tweet_embedding_95,0.28903951345454515,0.28903951345454515,4.430204838968477e-06,2.070898808349466,244
AMD,tweet_embedding_376,0.28885737769121805,0.28885737769121805,4.494799116989171e-06,1.9972932124873275,244
AMD,tweet_embedding_204,-0.2877314693486178,0.2877314693486178,4.914447093641469e-06,2.116015057531863,244
AMD,tweet_embedding_304,-0.28549992711444316,0.28549992711444316,5.858877000366403e-06,2.033203648460129,244
AMD,tweet_embedding_323,-0.2846752800971687,0.2846752800971687,6.249717073575182e-06,2.042473455361295,244
AMD,tweet_embedding_82,-0.28352412635526436,0.28352412635526436,6.836951540972349e-06,2.073955033671841,244
AMD,tweet_embedding_20,0.28228548212639554,0.28228548212639554,7.527251292991034e-06,1.9670746277430091,244
AMD,tweet_embedding_315,-0.2807556321075051,0.2807556321075051,8.471429321408455e-06,1.9473935566873966,244
AMD,tweet_embedding_183,0.27939618935725075,0.27939618935725075,9.403866082762595e-06,1.991058369227522,244
AMD,tweet_embedding_352,0.2779479010952296,0.2779479010952296,1.0504072567184795e-05,1.9617264776734418,244
AMD,tweet_embedding_40,-0.27659602159234986,0.27659602159234986,1.1640371965302508e-05,2.120285618318653,244
AMD,tweet_embedding_114,0.2739879620055462,0.2739879620055462,1.4169852616858491e-05,2.0423085322763046,244
AMD,tweet_embedding_285,0.27339111015195355,0.27339111015195355,1.481789294516803e-05,2.1109018875151544,244
AMD,tweet_embedding_pca_28,0.27293186925085816,0.27293186925085816,1.5335533693544627e-05,1.9635264878339445,244
AMD,tweet_embedding_pca_15,0.2716778959554928,0.2716778959554928,1.6837634791253374e-05,2.0432954076927743,244
AMD,tweet_embedding_271,0.27084316361897043,0.27084316361897043,1.7913672520436085e-05,2.1044956562376864,244
AMD,tweet_embedding_176,0.2706718534455743,0.2706718534455743,1.8142412870634352e-05,1.9625764301806912,244
AMD,tweet_embedding_pca_3,-0.26940257101019616,0.26940257101019616,1.992541205567318e-05,2.0666019619588996,244
AMD,tweet_embedding_165,-0.26913443096248113,0.26913443096248113,2.032271923958856e-05,1.8729872765050768,244
AMD,tweet_embedding_15,-0.26890648989308946,0.26890648989308946,2.0666346324980712e-05,2.016145260076807,244
AMD,tweet_embedding_266,0.26845378374836404,0.26845378374836404,2.136517940092083e-05,2.1364705863387794,244
AMD,tweet_embedding_117,0.2674303725856435,0.2674303725856435,2.302827672193722e-05,2.1770597615966296,244
AMD,tweet_embedding_64,0.26388550882203177,0.26388550882203177,2.9785535907230407e-05,2.143614674339153,244
AMD,tweet_embedding_214,0.26276954298627797,0.26276954298627797,3.227436693116689e-05,2.0312396478581896,244
AMD,tweet_embedding_374,-0.26249092057773143,0.26249092057773143,3.292569910392778e-05,2.15005882379608,244
AMD,tweet_embedding_155,0.26184116567320714,0.26184116567320714,3.449316079308573e-05,1.9850537610142234,244
AMD,tweet_embedding_298,-0.25860775259807445,0.25860775259807445,4.339742057105922e-05,2.068724026405219,244
AMD,tweet_embedding_pca_22,-0.2581405201448411,0.2581405201448411,4.485055720647104e-05,1.968652877917136,244
AMD,tweet_embedding_279,0.25743968628048786,0.25743968628048786,4.711645495687136e-05,2.05184285041313,244
AMD,tweet_embedding_283,0.2572730891060907,0.2572730891060907,4.767073578884781e-05,1.9362828076819905,244
AMD,tweet_embedding_263,0.2559436537649585,0.2559436537649585,5.231920230105218e-05,1.9718671282035451,244
AMD,tweet_embedding_232,0.25271292914368343,0.25271292914368343,6.545673896133328e-05,2.0922261477944,244
AMD,tweet_embedding_9,0.25212470070278536,0.25212470070278536,6.81602180828861e-05,1.9972110790567124,244
AMD,tweet_embedding_pca_1,-0.25102493452004854,0.25102493452004854,7.34985921012794e-05,2.017573642239484,244
AMD,tweet_embedding_pca_37,0.25040671585167534,0.25040671585167534,7.666956357533941e-05,1.9580475400212642,244
AMD,tweet_embedding_296,-0.2494379340166109,0.2494379340166109,8.189835624097546e-05,2.1487855542685983,244
AMD,tweet_embedding_318,-0.24800163162730893,0.24800163162730893,9.027015367706268e-05,2.042011262875683,244
AMD,tweet_embedding_207,0.24797719181482003,0.24797719181482003,9.041932307785058e-05,2.0878481289248314,244
AMD,tweet_embedding_79,-0.245502245230064,0.245502245230064,0.00010678285946587427,2.083410189910186,244
AMD,tweet_embedding_45,0.24495972379915787,0.24495972379915787,0.00011072301319322715,2.0021549749575582,244
AMD,tweet_embedding_pca_2,-0.2447551925565885,0.2447551925565885,0.00011224352240247362,2.1291214119292223,244
AMD,tweet_embedding_7,-0.24420605952259075,0.24420605952259075,0.00011642322904972754,2.053044449789466,244
AMD,tweet_embedding_146,-0.24410060756451868,0.24410060756451868,0.00011724238692960007,2.2442462747879524,244
AMD,tweet_embedding_365,0.24362114424851106,0.24362114424851106,0.00012103546269369915,2.083283031252596,244
AMD,tweet_embedding_133,0.23827935965692174,0.23827935965692174,0.00017183210824482938,1.9036907979653446,244
AMD,tweet_embedding_pca_8,-0.23636270841142612,0.23636270841142612,0.00019448195064819575,2.037869833493552,244
